Reference Number,Property Name,NHL Designated Date,Restricted Address,Category of Property,State,County,City ,Street & Number,External Link,Federal Agencies,Other Names,Park Name
80000672,New England Conservatory of Music,4/19/1994,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,290 Huntington Ave.,https://catalog.archives.gov/id/63796917,,,
72001312,Norfolk County Courthouse,11/28/1972,0,BUILDING,MASSACHUSETTS,Norfolk,Dedham,650 High St.,https://catalog.archives.gov/id/63793807,, Sacco-Vanzetti Trial Site,
70000687,Old City Hall,12/30/1970,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,School and Providence Sts.,https://catalog.archives.gov/id/63793837,,,
66000774,Old Deerfield Village Historic District,10/9/1960,0,DISTRICT,MASSACHUSETTS,Franklin,Deerfield,"W of US 5, bounded by Mill Village Rd., ""The Street"", Broughton's Pond Rd., and Pogues Hole Rd.",https://catalog.archives.gov/id/63795149,,,
66000775,Old Manse,12/29/1962,0,BUILDING,MASSACHUSETTS,Middlesex,Concord,Monument St.,https://catalog.archives.gov/id/63793755,,,
66000776,Old North Church,1/20/1961,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,193 Salem St.,https://catalog.archives.gov/id/63793857, NATIONAL PARK SERVICE, Christ Church Episcopal,Boston
66000777,Old Ship Meetinghouse,10/9/1960,0,BUILDING,MASSACHUSETTS,Plymouth,Hingham,Main St.,https://catalog.archives.gov/id/63793817,, Old Ship Church,
70000690,Old South Church in Boston,12/30/1970,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,645 Boylston St.,https://catalog.archives.gov/id/63793843,," Third Church;United Church of Christ,Congregational",
66000778,Old South Meetinghouse,10/9/1960,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,Milk and Washington Sts.,https://catalog.archives.gov/id/63793859, NATIONAL PARK SERVICE,,Boston
66000779,Old State House,10/9/1960,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,Washington and State Sts.,https://catalog.archives.gov/id/63793861, NATIONAL PARK SERVICE, Second Town House,Boston
70000691,Old West Church,12/30/1970,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,131 Cambridge St.,https://catalog.archives.gov/id/63793835,, West End Church;United Methodist,
66000780,"Olmsted, Frederick Law, House, National Historic Site",5/23/1963,0,BUILDING,MASSACHUSETTS,Norfolk,Brookline,99 Warren St.,https://catalog.archives.gov/id/63793805, NATIONAL PARK SERVICE, Frederick Law Olmsted National Historic Site,Frederick Law Olmstead
66000781,Orchard House,12/29/1962,0,BUILDING,MASSACHUSETTS,Middlesex,Concord,Lexington Rd.,https://catalog.archives.gov/id/63793757,," Alcott,Louisa May,House",
70000539,"Otis, (First) Harrison Gray, House",12/30/1970,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,141 Cambridge St.,https://catalog.archives.gov/id/63793829,,,
75000291,"Paine, Robert Treat, Jr., House",6/30/1989,0,BUILDING,MASSACHUSETTS,Middlesex,Waltham,577 Beaver St.,https://catalog.archives.gov/id/63795981,, Stonehurst,
66000782,"Parkman, Francis, House",12/29/1962,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,50 Chestnut St.,https://catalog.archives.gov/id/63793885,,,
71000903,"Parsonage, The",11/11/1971,0,BUILDING,MASSACHUSETTS,Middlesex,Natick,16 Pleasant St.,https://catalog.archives.gov/id/63793761,, Horatio Alger House,
66000783,Peabody Museum of Salem,12/21/1965,0,BUILDING,MASSACHUSETTS,Essex,Salem,161 Essex St.,https://catalog.archives.gov/id/63793691,, East India Marine Hall;Peabody Academy of Science,
68000042,Pierce-Hichborn House,11/24/1968,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,29 North Sq.,,,,
68000041,Pierce-Nichols House,11/24/1968,0,BUILDING,MASSACHUSETTS,Essex,Salem,80 Federal St.,https://catalog.archives.gov/id/63793673,,,
12000818,"Pinkham, Lydia, House",8/25/2015,0,BUILDING,MASSACHUSETTS,Essex,Lynn,285 Western Ave.,https://catalog.archives.gov/id/63794782,,,
86000092,PT BOAT 796 (torpedo boat),1/14/1986,0,STRUCTURE,MASSACHUSETTS,Bristol,Fall River,Battleship Cove,,,,
72001330,"Putnam, Gen. Rufus, House",11/28/1972,0,BUILDING,MASSACHUSETTS,Worcester,Rutland,344 Main St.,https://catalog.archives.gov/id/63793913,, Bliss-Murray-Putnam House,
70000095,Quincy Homestead,4/5/2005,0,building,MASSACHUSETTS,Norfolk,Quincy,34 Butler Road,https://catalog.archives.gov/id/63796334,,,
66000784,Quincy Market,11/13/1966,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,S. Market St.,https://catalog.archives.gov/id/63793849,, Faneuil Hall Market,
97001274,"Quincy, Josiah, House",9/25/1997,0,BUILDING,MASSACHUSETTS,Norfolk,Quincy,20 Muirhead St.,,,,
71000911,Red Top,11/11/1971,0,BUILDING,MASSACHUSETTS,Middlesex,Belmont,90 Somerset St.,https://catalog.archives.gov/id/63793887,, William Dean Howells House,
03000642,Revere Beach Reservation,5/27/2003,0,SITE,MASSACHUSETTS,Suffolk,Revere,"Revere Beach Boulevard, Eliot Circle to Northern Circle",https://catalog.archives.gov/id/63793881,,,
66000785,"Revere, Paul, House",1/20/1961,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,19 North Sq.,, NATIONAL PARK SERVICE,,Boston
92001874,"Richards, Ellen H. Swallow, House",3/31/1992,0,BUILDING,MASSACHUSETTS,Suffolk,Jamaica Plain,32 Eliot St.,,,,
76001999,"Richards, Theodore W., House",1/7/1976,0,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,15 Follen St.,,, 15 Follen St.,
97001278,ROSEWAY (schooner),9/25/1997,0,SITE,MASSACHUSETTS,Suffolk,Boston,Boston Harbor,,, PILOT SCHOONER ROSEWAY,
06000236,"Rotch, William J., Gothic Cottage",2/17/2006,0,BUILDING,MASSACHUSETTS,Bristol,New Bedford,19 Irving St.,https://catalog.archives.gov/id/63793651,, See also: County Street Historic District,
05000456,"Rotch, William Jr., House",4/5/2005,0,BUILDING,MASSACHUSETTS,Bristol,New Bedford,396 County Street,https://catalog.archives.gov/id/63793655,,,
66000786,"Royall, Isaac, House",10/9/1960,0,BUILDING,MASSACHUSETTS,Middlesex,Medford,15 George St.,https://catalog.archives.gov/id/63793721,,,
75001942,"Rumford, Count, Birthplace",5/15/1975,0,BUILDING,MASSACHUSETTS,Middlesex,Woburn,90 Elm St.,https://catalog.archives.gov/id/63793785,, Rumford House,
100002332,Saugus Iron Works National Historic Site,11/27/1963,0,DISTRICT,MASSACHUSETTS,Essex,Saugus,244 Central St.,, NATIONAL PARK SERVICE, Hammersmith,Saugus Iron Works
70000731,"Sears, David, House",12/30/1970,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,42 Beacon St.,https://catalog.archives.gov/id/63793831,, Somerset Club,
70000732,"Sever Hall, Harvard University",12/30/1970,0,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,Harvard Yard,https://catalog.archives.gov/id/63793731,,,
66000787,Shirley-Eustis House,10/9/1960,0,BUILDING,MASSACHUSETTS,Suffolk,Roxbury,31-37 Shirley St.,https://catalog.archives.gov/id/63793825,,,
68000043,Spencer-Pierce-Little House,11/24/1968,0,BUILDING,MASSACHUSETTS,Essex,Newbury,Little's Lane,https://catalog.archives.gov/id/63793681,,,
100007435,Springfield Armory (Additional Documentation),12/19/1960,0,district,MASSACHUSETTS,Hampden,Springfield,"State, Federal, Pearl, and Byers Sts.",https://catalog.archives.gov/id/63793713, NATIONAL PARK SERVICE, Springfield Armory National Historic Site;Armory Square; Armory Square,Springfield Armory
66000898,Springfield Armory National Historic Site,12/19/1960,0,DISTRICT,MASSACHUSETTS,Hampden,Springfield,Armory Sq.,https://catalog.archives.gov/id/63793713, NATIONAL PARK SERVICE, Springfield Armory National Historic Site;Armory Square,Springfield Armory
70000730,St. Paul's Church,12/30/1970,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,136 Tremont St.,https://catalog.archives.gov/id/63793841,, Cathedral Church of St. Paul,
73001952,"Story, Joseph, House",11/7/1973,0,BUILDING,MASSACHUSETTS,Essex,Salem,26 Winter St.,https://catalog.archives.gov/id/63793701,,,
89001246,"Stoughton, Mary Fisk, House",6/29/1989,0,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,90 Brattle St.,,, See Also: Cambridge MRA; Old Cambridge Historic District,
73001953,"Sumner, Charles, House",11/7/1973,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,20 Hancock St.,https://catalog.archives.gov/id/63793823,,,
99000633,Symphony Hall,1/20/1999,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,301 Massachusetts Avenue,,, See also:Symphony and Horticulture Halls 75000301,
76002002,"Thomson, Elihu, House",1/7/1976,0,BUILDING,MASSACHUSETTS,Essex,Swampscott,33 Elmwood Ave.,,, Elihu Thomson Administration Building,
89002465,Torpedo Boat PT-617,12/20/1989,0,STRUCTURE,MASSACHUSETTS,Bristol,Falls River,Battleship Cove,,, BIG RED COCK;DRAGON LADY,
66000788,Tremont Street Subway,1/29/1964,0,STRUCTURE,MASSACHUSETTS,Suffolk,Boston,"Beneath Tremont, Boylston, and Washington Sts.",https://catalog.archives.gov/id/63793905,, Green Line,
70000733,Trinity Church,12/30/1970,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,Copley Sq.,https://catalog.archives.gov/id/63797046,, Trinity Episcopal Church,
76002003,"Trotter, William Monroe, House",5/11/1976,0,BUILDING,MASSACHUSETTS,Suffolk,Dorchester,97 Sawyer Ave.,,,,
68000044,"Tufts, Peter, House",11/24/1968,0,BUILDING,MASSACHUSETTS,Middlesex,Medford,350 Riverside Ave.,https://catalog.archives.gov/id/63793723,,,
71000355,Twin Lights Historic District-Cape Ann Light Station,1/3/2001,0,DISTRICT,MASSACHUSETTS,Essex,Rockport,1 mi. E of Rockport on Thatcher's Island,https://catalog.archives.gov/id/63790218, COAST GUARD; FISH AND WILDLIFE SERVICE, Thatcher's Island Twin Lights;Cape Anne Light Station,
70000735,U.S. Customhouse,12/30/1970,0,BUILDING,MASSACHUSETTS,Bristol,New Bedford,SW corner of 2nd and Williams Sts.,https://catalog.archives.gov/id/63793653, GENERAL SERVICES ADMINISTRATION,,
66000789,U.S.S. CONSTITUTION,12/19/1960,0,STRUCTURE,MASSACHUSETTS,Suffolk,Boston,Boston Naval Shipyard,https://catalog.archives.gov/id/63793893, DEPARTMENT OF THE NAVY, OLD IRONSIDES,
76000231,U.S.S. JOSEPH P. KENNEDY JR. (DD-850),6/29/1989,0,STRUCTURE,MASSACHUSETTS,Bristol,Fall River,Battleship Cove,https://catalog.archives.gov/id/63789785,,,
03000645,Union Oyster House,5/27/2003,0,BUILDING,MASSACHUSETTS,Suffolk,Boston,41-43 Union Street,https://catalog.archives.gov/id/63793851,, Atwood &amp; Bacon; Atwood,
70000734,United First Parish Church (Unitarian) of Quincy,12/30/1970,0,BUILDING,MASSACHUSETTS,Norfolk,Quincy,1266 Hancock St.,https://catalog.archives.gov/id/63793793, NATIONAL PARK SERVICE, Stone Temple;Church of the Presidents,Adams
70000736,"University Hall, Harvard University",12/30/1970,0,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,Harvard Yard,https://catalog.archives.gov/id/63793719,,,
86000084,USS CASSIN YOUNG (destroyer),1/14/1986,0,STRUCTURE,MASSACHUSETTS,Suffolk,Boston,Charlestown Navy Yard,, DEPARTMENT OF THE NAVY, DD-793,
76002270,USS LIONFISH (SS0298) National Historic Landmark,1/14/1986,0,STRUCTURE,MASSACHUSETTS,Bristol,Fall River,Battleship Cove,https://catalog.archives.gov/id/63794578,, See Also:USS LIONFISH,
76002269,USS MASSACHUSETTS (BB-59) National Historic Landmark,1/14/1986,0,STRUCTURE,MASSACHUSETTS,Bristol,Fall River,Battleship Cove,https://catalog.archives.gov/id/63794580,, See Also:USS MASSACHUSETTS,
70000737,"Vale, The",12/30/1970,0,BUILDING,MASSACHUSETTS,Middlesex,Waltham,Lyman and Beaver Sts.,https://catalog.archives.gov/id/63793743,, Theodore Lyman Estate,
66000790,Walden Pond,12/29/1962,0,SITE,MASSACHUSETTS,Middlesex,Concord,1.5 mi. S of Concord,https://catalog.archives.gov/id/63793759,, Walden Pond State Reservation,
68000045,"Ward, John, House",11/24/1968,0,BUILDING,MASSACHUSETTS,Essex,Salem,132 Essex St.,https://catalog.archives.gov/id/63793683,,,
80000356,"Wayside, The",2/4/1985,0,BUILDING,MASSACHUSETTS,Middlesex,Concord,455 Lexington Rd.,https://catalog.archives.gov/id/63795985, NATIONAL PARK SERVICE, Home of Authors,Minute Man
74002053,"Webster, Daniel, Law Office and Library",5/30/1974,0,BUILDING,MASSACHUSETTS,Plymouth,Marshfield,Careswell and Webster Sts.,https://catalog.archives.gov/id/63793815,,,
05000458,Wesleyan Grove,4/5/2005,0,DISTRICT,MASSACHUSETTS,Dukes,Oak Bluffs,Martha's Vineyard,https://catalog.archives.gov/id/63793665,,,
100006273,Western Railroad  Stone Arch Bridges and Chester Factory Village Depot,1/13/2021,0,district,MASSACHUSETTS,Berkshire,Becket,"Vicinity of Herbert Cross Road, Middlefield/Becket Line (Bridges and Roadbed); 10 Prospect Street (Depot)",,,,
100006274,Western Railroad  Stone Arch Bridges and Chester Factory Village Depot,1/13/2021,0,district,MASSACHUSETTS,Berkshire,Becket,"Vicinity of Herbert Cross Road, Middlefield/Becket Line (Bridges and Roadbed); 10 Prospect Street (Depot)",,,,
66000791,"Whipple, John, House",10/9/1960,0,BUILDING,MASSACHUSETTS,Essex,Ipswich,53 S. Main St.,https://catalog.archives.gov/id/63793669,,,
66000792,"Whittier, John Greenleaf, House",12/29/1962,0,BUILDING,MASSACHUSETTS,Essex,Amesbury,86 Friend St.,https://catalog.archives.gov/id/63793695,,,
76000290,Woburn Public Library,12/23/1987,0,BUILDING,MASSACHUSETTS,Middlesex,Woburn,Pleasant St.,https://catalog.archives.gov/id/63796057,, Winn Memorial Library,
66000793,Wright's Tavern,1/20/1961,0,BUILDING,MASSACHUSETTS,Middlesex,Concord,Lexington Rd. opposite the Burying Ground,https://catalog.archives.gov/id/63793767,,,
72000613,Bay View,12/23/1987,0,DISTRICT,MICHIGAN,Emmet,Petoskey,NE of Petoskey on US 31,https://catalog.archives.gov/id/25339264,, Bay View Association,
89001097,Calumet Historic District,3/28/1989,0,DISTRICT,MICHIGAN,Houghton,Calumet,Area W of MI 26 S of Calumet Lake to Osceola,https://catalog.archives.gov/id/25338750, U.S. POSTAL SERVICE, See Also: Calumet Downtown Historic District;Calumet and Hec,
90002221,CITY OF MILWAUKEE,12/14/1990,0,STRUCTURE,MICHIGAN,Benzie,Manistee,"Marine Terminal Railyard, E. slip",https://catalog.archives.gov/id/25338734,, SS CITY OF MILWAUKEE;CITY OF MILWAUKEE (Car Ferry),
73000954,Cranbrook,6/29/1989,0,DISTRICT,MICHIGAN,Oakland,Bloomfield Hills,Lone Pine Rd.,https://catalog.archives.gov/id/25340290,,,
14000279,"Detroit Industry Murals, Detroit Institute of Arts",4/22/2014,0,OBJECT,MICHIGAN,Wayne,Detroit,5200 Woodward Ave.,,,,
89001167,"Dow, Alden B., House and Studio",6/29/1989,0,BUILDING,MICHIGAN,Midland,Midland,315 Post St.,https://catalog.archives.gov/id/25338763,,,
76001033,"Dow, Herbert H., House",5/11/1976,0,BUILDING,MICHIGAN,Midland,Midland,1038 W. Main St.,https://catalog.archives.gov/id/25338765,, Dow House,
75000943,Durant-Dort Carriage Company Office,6/16/1978,0,BUILDING,MICHIGAN,Genesee,Flint,315 W. Water St.,https://catalog.archives.gov/id/25339308,, Arrowhead Veterans Club,
66000399,Fair Lane,11/13/1966,0,DISTRICT,MICHIGAN,Wayne,Dearborn,4901 Evergreen Rd.,,, Henry Ford Estate,
80001922,Fisher and New Center Buildings,6/29/1989,0,BUILDING,MICHIGAN,Wayne,Detroit,7430 2nd Ave. and 3011 W. Grand Blvd.,https://catalog.archives.gov/id/25340844,, Fisher Building,
07000847,Fisher Building,6/29/1989,0,BUILDING,MICHIGAN,Wayne,Detroit,3011 West Grand Boulevard,https://catalog.archives.gov/id/25341178,, See also: 80001922; Fisher and New Center Buildings,
02000041,Ford Piquette Avenue Plant,2/17/2006,0,BUILDING,MICHIGAN,Wayne,Detroit,411 Piquette Ave.,https://catalog.archives.gov/id/25341152,,,
78001516,Ford River Rouge Complex,6/2/1978,0,DISTRICT,MICHIGAN,Wayne,Dearborn,3001 Miller Rd.,https://catalog.archives.gov/id/25338791,,,
79001164,"Ford, Edsel and Eleanor, House (Gaukler Pointe)",10/31/2016,0,BUILDING,MICHIGAN,Macomb,St. Clair & Grosse Pointe Shores,1100 Lakeshore Rd.,https://catalog.archives.gov/id/25339988,, Lakeview;Gaukler Point,
66000395,Fort Michilimackinac,10/9/1960,0,SITE,MICHIGAN,Emmet,Mackinaw City,Near Mackinac Bridge at the terminus of U.S. 31,https://catalog.archives.gov/id/25338744,,,
85000280,Fox Theater Building,6/29/1989,0,BUILDING,MICHIGAN,Wayne,Detroit,2111 Woodward Ave.,https://catalog.archives.gov/id/25338781,,,
78001520,General Motors Building,6/16/1978,0,BUILDING,MICHIGAN,Wayne,Detroit,3044 W. Grand Blvd.,https://catalog.archives.gov/id/25338787,,,
14000921,General Motors Technical Center,8/25/2014,0,BUILDING,MICHIGAN,Macomb,Warren,"Bounded by 12 Mile, Mound and Chicago Rds.",,,,
72000637,Grand Hotel,6/29/1989,0,BUILDING,MICHIGAN,Mackinac,Mackinac Island,Grand Ave.,https://catalog.archives.gov/id/25339956,,,
69000071,Greenfield Village and Henry Ford Museum,6/2/1978,0,DISTRICT,MICHIGAN,Wayne,Dearborn,"Bounded by Michigan Ave. on the N, Village Rd. on the S, Southfield Expwy. on the E, and Oakland Blvd. on the W",https://catalog.archives.gov/id/25340730,, Edison Institute,
89001165,Guardian Building,6/29/1989,0,BUILDING,MICHIGAN,Wayne,Detroit,500 Griswold St.,https://catalog.archives.gov/id/25338777,, Union Trust Building,
68000026,"Hemingway, Ernest, Cottage",11/24/1968,0,BUILDING,MICHIGAN,Emmet,Walloon Lake,Between N shore of Walloon Lake and Lake Grove Rd.,https://catalog.archives.gov/id/25338742,, Windemere,
73000961,"Highland Park Plant, Ford Motor Company",6/16/1978,0,BUILDING,MICHIGAN,Wayne,Highland Park,15050 Woodward Ave.,https://catalog.archives.gov/id/25341014,,,
76001974,HURON (lightship),12/20/1989,0,STRUCTURE,MICHIGAN,St. Clair,Port Huron,Pine Grove Park on St. Clair River,https://catalog.archives.gov/id/25340523,, Relief (lightship); Grays Reef; North Manitou Shoal,
15000621,Lafayette Park,7/21/2015,0,,MICHIGAN,Wayne,Detroit,"Roughly, Antietam Ave., Orleans, E. Lafayette, and Rivard Streets",,,,
66000397,Mackinac Island,10/9/1960,0,DISTRICT,MICHIGAN,Mackinac,Mackinac Island,NE across the Straits of Mackinac from Mackinaw City,https://catalog.archives.gov/id/25338759,,,
91002053,Marshall Michigan Historic Landmark District,7/17/1991,0,DISTRICT,MICHIGAN,Calhoun,Marshall,"Roughly bounded by Plum St., East Dr., Forest St. and Hanover St.",https://catalog.archives.gov/id/25338736, U.S. POSTAL SERVICE,,
10001023,McGregor Memorial Conference Center,2/27/2015,0,BUILDING,MICHIGAN,Wayne,Detroit,495 Ferry Mall (campus of Wayne State University),https://catalog.archives.gov/id/25340778,,,
79001166,Meadow Brook Farms,3/2/2012,0,building,MICHIGAN,Oakland,Rochester,480 S. Adams Rd.,https://catalog.archives.gov/id/25340198,, Meadow Brook Estate; Meadow Brook Hall,
71000396,Michigan State Capitol,10/5/1992,0,BUILDING,MICHIGAN,Ingham,Lansing,Capitol and Michigan Aves.,https://catalog.archives.gov/id/25339507,, State Capitol,
100006259,Minong Copper Mining Historic District,1/13/2021,1,district,MICHIGAN,Keweenaw,Isle Royale National Park,Address Restricted,,,,
98001191,North Manitou Island Lifesaving Station,8/5/1998,0,DISTRICT,MICHIGAN,Leelanau,Sleeping Bear Dunes National Seashor,"East Coast, North Manitou Island",https://catalog.archives.gov/id/25338755, NATIONAL PARK SERVICE, North Manitou Coast Guard Station,Sleeping Bear Dunes
66000396,Norton Mound Group,12/21/1965,1,SITE,MICHIGAN,Kent,Grand Rapids,Address Restricted,,, Norton Mound Site (20KT1),
76001039,Parke-Davis Research Laboratory,5/11/1976,0,BUILDING,MICHIGAN,Wayne,Detroit,Joseph Campau St. at Detroit River,https://catalog.archives.gov/id/25338795,, Building 55--Detroit Research,
71000430,Pewabic Pottery,12/4/1991,0,BUILDING,MICHIGAN,Wayne,Detroit,10125 E. Jefferson Ave.,https://catalog.archives.gov/id/25340724,,,
89001095,Quincy Mining Company Historic District,2/10/1989,0,DISTRICT,MICHIGAN,Houghton,Hancock,Area N from Portage Lake to Quincy Hill and along US 41,https://catalog.archives.gov/id/25338748,, See Also: Quincy Mine No. 2 Shaft Hoist House,
78001500,Reo Motor Car Company Plant,6/2/1978,0,BUILDING,MICHIGAN,Ingham,Lansing,2100 S. Washington St.,https://catalog.archives.gov/id/25339529,," Diamond Reo Trucks,Inc.",
09000679,S.S. BADGER (carferry),1/20/2016,0,STRUCTURE,MICHIGAN,Mason,Ludington,700 S. William St.,https://catalog.archives.gov/id/25340103,, US Coast Guard Official Number 265156,
70000684,St. Clair River Tunnel,4/19/1993,0,STRUCTURE,MICHIGAN,St. Clair,Port Huron,"St. Clair River between Port Huron, Michigan and Sarnia, Ontario",https://catalog.archives.gov/id/25340515,,,
66000398,St. Ignace Mission,10/9/1960,0,SITE,MICHIGAN,Mackinac,St. Ignace,"State and Marquette Sts., Marquette Park",https://catalog.archives.gov/id/25338761,,,
66000394,St. Mary's Falls Canal,11/13/1966,0,STRUCTURE,MICHIGAN,Chippewa,Sault Ste. Marie,Portage St.,https://catalog.archives.gov/id/25338738, ARMY CORPS OF ENGINEERS, The Soo Locks,
79001177,STE. CLAIRE (steamer),7/6/1992,0,STRUCTURE,MICHIGAN,Wayne,Detroit,661 Civic Center Dr.,https://catalog.archives.gov/id/25341132,, Steamer STE. CLAIRE,
01000654,Christ Church Lutheran,1/16/2009,0,BUILDING,MINNESOTA,Hennepin,Minneapolis,3244 34th Ave. S,https://catalog.archives.gov/id/93201840,,,
89001665,"Cooke, Jay, State Park CCC/Rustic Style Historic District",12/8/1976,0,DISTRICT,MINNESOTA,Carlton,Carlton,"Off MN 210 E of Carlton, Thomson Township",https://catalog.archives.gov/id/93200146,, Jay Cooke State Park,
71000440,"Fitzgerald, F. Scott, House",11/11/1971,0,BUILDING,MINNESOTA,Ramsey,St. Paul,599 Summit Ave.,https://catalog.archives.gov/id/93201277,, Summit Terrace,
66000401,Fort Snelling,12/19/1966,0,DISTRICT,MINNESOTA,Dakota,St. Paul,"Bounded by Minnehaha Park, the Mississippi River, the airport and Bloomington Rd.",https://catalog.archives.gov/id/93201610,,,
11000565,Grand Mound,6/23/2011,1,SITE,MINNESOTA,Koochiching,,Address Restricted,,," Smith Site (21KC3), Grand Mound Site; Laurel Mounds, Smith Mounds",
80002178,Heath Summer Home,11/13/1966,0,BUILDING,MINNESOTA,Washington,Stillwater,N of Stillwater,, NATIONAL PARK SERVICE, Foster Summer Residence,Saint Croix
66000405,"Hill, James J., House",11/5/1961,0,BUILDING,MINNESOTA,Ramsey,St. Paul,240 Summit Ave.,https://catalog.archives.gov/id/93201281,, Hill House,
66000904,Hull-Rust-Mahoning Open Pit Iron Mine,11/13/1966,0,STRUCTURE,MINNESOTA,St. Louis,Hibbing,"3rd Ave., E.",https://catalog.archives.gov/id/93201293,,,
66000403,Kathio Site,7/19/1964,1,DISTRICT,MINNESOTA,Mille Lacs,Vineland and vicinity,Address Restricted,,, Kathio Archeological District;Mille-Lacs--Kathio State Park;,
66000406,"Kelley, Oliver H., Homestead",7/19/1964,0,DISTRICT,MINNESOTA,Sherburne,Elk River,2 mi. SE of Elk River on U.S. 10,https://catalog.archives.gov/id/93202870,, Oliver H. Kelley Farm,
74001035,"Kellogg, Frank B., House",12/8/1976,0,BUILDING,MINNESOTA,Ramsey,St. Paul,633 Fairmount Ave.,https://catalog.archives.gov/id/93202636,,,
68000027,"Lewis, Sinclair, Boyhood Home",5/23/1968,0,BUILDING,MINNESOTA,Stearns,Sauk Centre,812 Sinclair Lewis Ave.,https://catalog.archives.gov/id/93201295,,,
70000303,"Lindbergh, Charles A., House and Park",12/8/1976,0,BUILDING,MINNESOTA,Morrison,Little Falls,1620 Linbergh Dr. S,https://catalog.archives.gov/id/93202307,, Charles A. Lindbergh State Park and Lindbergh House;Charles,
69000075,Mayo Clinic Buildings,8/4/1969,0,BUILDING,MINNESOTA,Olmsted,Rochester,110 and 115 2nd Ave.,,, Mayo Clinic,
68000052,Mountain Iron Mine,11/24/1968,0,SITE,MINNESOTA,St. Louis,Mountain Iron,N of Mountain Iron,https://catalog.archives.gov/id/93201291,, Mountain Iron Pit Reservoir,
71000441,National Farmers' Bank,1/7/1976,0,BUILDING,MINNESOTA,Steele,Owatonna,101 N. Cedar St.,https://catalog.archives.gov/id/93203103,, Northwestern National Bank of Owatonna;National Farmers' Ban,
78001547,Peavey-Haglin Experimental Concrete Grain Elevator,12/21/1981,0,STRUCTURE,MINNESOTA,Hennepin,St. Louis Park,Jct. MN 7 and MN 100,https://catalog.archives.gov/id/93201991,, Nordic-Ware Tower,
66000402,Pillsbury A Mill,11/13/1966,0,BUILDING,MINNESOTA,Hennepin,Minneapolis,301 Main St. SE,https://catalog.archives.gov/id/93201997,,,
76001046,Rabideau Civilian Conservation Corps (CCC) Camp,2/17/2006,0,DISTRICT,MINNESOTA,Beltrami,Blackduck,"Off Co. Hwy. 39 in Chippewa National Forest, Taylor Township",https://catalog.archives.gov/id/93201370, FOREST SERVICE,,
69000078,"Rolvaag, O. E., House",8/4/1969,0,BUILDING,MINNESOTA,Rice,Northfield,311 Manitou St.,https://catalog.archives.gov/id/93201285,,,
66000905,Soudan Iron Mine,11/13/1966,0,SITE,MINNESOTA,St. Louis,Tower,Tower-Soudan State Park,https://catalog.archives.gov/id/93201289,,,
69000073,Split Rock Light Station,6/23/2011,0,DISTRICT,MINNESOTA,Lake,Two Harbors,3713 Split Rock Lighthouse Rd.,https://catalog.archives.gov/id/93202200,, Split Rock Lighthouse; Split Rock Lighthouse State Park,
80000409,St. Croix Boom Company House and Barn,11/13/1966,0,BUILDING,MINNESOTA,Washington,Stillwater,NE of Stillwater at 9666 N. St. Croix Trail,https://catalog.archives.gov/id/93201178, NATIONAL PARK SERVICE,,Saint Croix
66000407,St. Croix Boom Site,11/13/1966,0,SITE,MINNESOTA,Washington,Stillwater,3 mi. N of Stillwater on St. Croix River,https://catalog.archives.gov/id/93201299,,,
97001261,St. Croix Recreational Demonstration Area,9/25/1997,0,DISTRICT,MINNESOTA,Pine,Hinckley,20 mi. E of Hinckley off MN 48,https://catalog.archives.gov/id/93201275,, St. Croix State Park,
75001024,Veblen Farmstead,12/21/1981,0,BUILDING,MINNESOTA,Rice,Nerstrand,NE of Nerstrand off MN 246,https://catalog.archives.gov/id/93202844,, Thornsten Veblen Farm,
74001046,"Volstead, Andrew John, House",12/8/1976,0,BUILDING,MINNESOTA,Yellow Medicine,Granite Falls,163 9th Ave.,https://catalog.archives.gov/id/93203355,,,
83004388,Washburn A Mill Complex,5/4/1983,0,DISTRICT,MINNESOTA,Hennepin,Minneapolis,"1st St., S. at Portland Ave.",https://catalog.archives.gov/id/93201262,,,
74001064,Ammadelle,5/30/1974,0,BUILDING,MISSISSIPPI,Lafayette,Oxford,637 N. Lamar St.,https://catalog.archives.gov/id/73890580,,,
93001606,Anna Site,9/14/1993,1,SITE,MISSISSIPPI,Adams,Natchez,Address Restricted,,," Voucherie,Lewis,Robson,Stowers;22-Ad-500",
